time, length, x, y, value1, value2, value3		
36550,70,-93.110,85.915,478,1187,1080
36630,70,-93.075,85.965,477,1284,1134
36710,70,-93.045,86.015,476,1517,1258
36790,70,-93.020,86.060,476,1661,1337
36870,70,-92.985,86.110,474,1420,1207
36950,70,-92.960,86.160,472,1307,1137
37030,70,-92.925,86.210,470,1229,1095
37110,70,-92.900,86.260,469,1448,1219
37190,70,-92.870,86.315,468,1461,1241
37270,70,-92.835,86.360,466,1352,1183
37350,70,-92.805,86.410,463,1439,1233
37430,70,-92.780,86.460,460,1443,1220
37510,70,-92.745,86.510,457,1447,1218
37590,70,-92.715,86.560,456,1514,1253
37670,70,-92.685,86.605,457,1462,1228
37750,70,-92.650,86.655,453,1558,1243
37830,70,-92.620,86.705,449,1321,1091
37910,70,-92.585,86.755,445,1253,1058
37990,70,-92.550,86.800,444,1250,1062
38070,70,-92.520,86.850,444,1266,1080
38150,70,-92.490,86.905,443,1289,1094
39320,70,-92.195,87.210,335,529,402
39400,70,-92.220,87.165,450,830,601
39480,70,-92.255,87.115,453,909,698
39560,70,-92.285,87.065,455,961,772
39640,70,-92.315,87.015,456,1127,893
39720,70,-92.345,86.960,456,1146,933
39800,70,-92.375,86.915,456,1118,924
39880,70,-92.410,86.865,456,1267,1043
39960,70,-92.435,86.815,458,1269,1071
40040,70,-92.470,86.760,462,1260,1072
40120,70,-92.495,86.715,464,1250,1070
40200,70,-92.525,86.665,463,1140,1017
40280,70,-92.560,86.615,463,1286,1133
40360,70,-92.585,86.565,465,1395,1212
40440,70,-92.620,86.515,467,1447,1260
40520,70,-92.650,86.465,470,1377,1231
40600,70,-92.685,86.415,470,1308,1187
40680,70,-92.720,86.370,468,1251,1163
40760,70,-92.745,86.320,465,1316,1202
40840,70,-92.785,86.265,465,1411,1222
40920,70,-92.815,86.215,467,1579,1332
41000,70,-92.845,86.165,467,1597,1351
41080,70,-92.880,86.115,466,1641,1365
41160,70,-92.905,86.065,465,1589,1370
41240,70,-92.940,86.015,461,1675,1405
41320,70,-92.970,85.965,462,1576,1376
41400,70,-93.000,85.915,464,1412,1278
41480,70,-93.035,85.865,463,1338,1227
41560,70,-93.055,85.815,463,1448,1282
41640,70,-93.090,85.765,461,1466,1291
41720,70,-93.120,85.715,460,1386,1228
41800,70,-93.145,85.665,460,1446,1256
41880,70,-93.180,85.615,462,1341,1196
41960,70,-93.215,85.565,464,1350,1193
42040,70,-93.250,85.510,463,1246,1126
42120,70,-93.280,85.465,464,1327,1167
42200,70,-93.305,85.415,463,1310,1155
42280,70,-93.350,85.365,462,1315,1124
42360,70,-93.375,85.320,465,1306,1117
42440,70,-93.410,85.270,468,1240,1071
42520,70,-93.440,85.215,468,1291,1102
43620,70,-93.370,85.140,343,468,396
43700,70,-93.345,85.180,464,887,674
43780,70,-93.315,85.230,468,977,755
43860,70,-93.280,85.285,470,1116,850
43940,70,-93.245,85.335,470,1410,1027
44020,70,-93.215,85.385,468,1395,1060
44100,70,-93.180,85.440,466,1434,1086
44180,70,-93.150,85.485,465,1506,1125
44260,70,-93.130,85.535,466,1756,1276
44340,70,-93.095,85.590,467,1624,1241
44420,70,-93.065,85.635,467,1556,1255
44500,70,-93.030,85.685,466,1477,1226
44580,70,-93.005,85.735,463,1535,1252
44660,70,-92.970,85.785,461,1560,1264
44740,70,-92.940,85.840,461,1656,1324
44820,70,-92.910,85.890,463,1545,1265
44900,70,-92.870,85.940,463,1553,1255
44980,70,-92.845,85.990,460,1411,1193
45060,70,-92.810,86.040,457,1305,1155
45140,70,-92.780,86.090,454,1291,1145
45220,70,-92.745,86.140,454,1298,1165
45300,70,-92.710,86.195,456,1397,1213
45380,70,-92.675,86.235,455,1647,1319
45460,70,-92.650,86.290,452,1437,1254
45540,70,-92.620,86.345,450,1414,1234
45620,70,-92.590,86.385,448,1414,1245
45700,70,-92.565,86.435,449,1370,1231
45780,70,-92.530,86.495,451,1348,1208
45860,70,-92.500,86.545,447,1319,1171
45940,70,-92.465,86.595,447,1432,1234
46020,70,-92.435,86.645,446,1496,1277
46100,70,-92.405,86.695,445,1559,1315
46180,70,-92.375,86.745,446,1681,1385
46260,70,-92.345,86.795,448,1595,1323
46340,70,-92.310,86.840,449,1526,1284
46420,70,-92.275,86.895,447,1626,1342
46500,70,-92.240,86.940,447,1673,1352
46580,70,-92.215,86.990,447,1677,1355
46660,70,-92.175,87.050,449,1653,1341
46740,70,-92.145,87.100,451,1535,1272
46820,70,-92.110,87.150,452,1539,1260
46900,70,-92.080,87.200,452,1544,1269
46980,70,-92.055,87.250,450,1558,1250
47060,70,-92.025,87.300,452,1715,1309
47140,70,-91.995,87.350,453,1571,1193
47220,70,-91.960,87.395,456,1442,1154
47300,70,-91.935,87.450,459,1474,1176
47380,70,-91.900,87.500,460,1533,1190
48550,70,-91.590,87.810,347,597,454
48630,70,-91.615,87.765,468,898,669
48710,70,-91.650,87.710,471,977,756
48790,70,-91.680,87.660,471,1061,841
48870,70,-91.715,87.615,470,1083,880
48950,70,-91.745,87.555,467,1185,985
49030,70,-91.775,87.505,469,1131,983
49110,70,-91.810,87.460,472,1241,1070
49190,70,-91.845,87.405,472,1194,1042
49270,70,-91.880,87.355,473,1483,1234
49350,70,-91.905,87.305,472,1582,1322
49430,70,-91.940,87.255,471,1672,1404
49510,70,-91.970,87.205,472,1711,1453
49590,70,-92.005,87.155,472,1690,1453
49670,70,-92.035,87.105,475,1717,1465
49750,70,-92.070,87.055,475,1737,1475
49830,70,-92.095,87.000,473,1540,1382
49910,70,-92.130,86.950,474,1756,1464
49990,70,-92.155,86.900,474,1613,1385
50070,70,-92.190,86.850,476,1571,1396
50150,70,-92.215,86.800,477,1577,1405
50230,70,-92.250,86.750,478,1513,1357
50310,70,-92.285,86.700,477,1638,1390
50390,70,-92.320,86.650,478,1618,1413
50470,70,-92.350,86.600,477,1685,1483
50550,70,-92.375,86.545,478,1885,1607
50630,70,-92.410,86.495,481,1743,1543
50710,70,-92.445,86.445,481,1587,1441
50790,70,-92.480,86.390,479,1724,1527
50870,70,-92.510,86.345,477,1654,1526
50950,70,-92.545,86.295,478,1739,1579
51030,70,-92.570,86.240,479,1625,1502
51110,70,-92.605,86.195,482,1718,1556
51190,70,-92.635,86.145,482,1782,1565
51270,70,-92.670,86.090,479,1688,1518
51350,70,-92.690,86.040,477,1835,1606
51430,70,-92.725,85.995,476,1724,1520
51510,70,-92.755,85.935,477,1588,1468
51590,70,-92.790,85.885,478,1627,1483
51670,70,-92.825,85.840,477,1735,1549
51750,70,-92.860,85.785,474,1711,1543
51830,70,-92.885,85.735,472,1716,1551
51910,70,-92.920,85.685,469,1887,1648
51990,70,-92.950,85.635,471,2003,1662
52070,70,-92.980,85.585,470,2054,1713
52150,70,-93.020,85.535,469,1801,1587
52230,70,-93.045,85.480,466,1680,1505
52310,70,-93.080,85.435,462,1620,1481
52390,70,-93.110,85.385,460,1749,1523
52470,70,-93.145,85.325,460,1605,1424
52550,70,-93.170,85.280,462,1755,1482
52630,70,-93.205,85.230,461,1965,1556
52710,70,-93.230,85.180,456,1686,1437
52790,70,-93.265,85.130,453,1521,1346
52870,70,-93.290,85.080,451,1796,1479
53970,70,-93.235,85.000,334,773,693
54050,70,-93.210,85.045,449,1102,940
54130,70,-93.180,85.100,444,1534,1226
54210,70,-93.150,85.150,441,1739,1369
54290,70,-93.110,85.200,441,1737,1406
54370,70,-93.080,85.255,444,1755,1443
54450,70,-93.045,85.300,446,1676,1428
54530,70,-93.020,85.350,444,1751,1485
54610,70,-92.985,85.405,443,1618,1451
54690,70,-92.955,85.455,440,1652,1464
54770,70,-92.920,85.505,440,1602,1458
54850,70,-92.885,85.555,442,1465,1392
54930,70,-92.850,85.605,442,1395,1344
55010,70,-92.825,85.660,443,1401,1347
55090,70,-92.790,85.710,443,1600,1456
55170,70,-92.760,85.755,439,1660,1487
55250,70,-92.730,85.810,441,1582,1474
55330,70,-92.705,85.860,441,1656,1510
55410,70,-92.670,85.910,443,1771,1565
55490,70,-92.640,85.960,442,1772,1573
55570,70,-92.605,86.015,441,1720,1543
55650,70,-92.575,86.060,439,1599,1485
55730,70,-92.535,86.115,438,1555,1463
55810,70,-92.510,86.170,440,1762,1536
55890,70,-92.475,86.215,442,1749,1524
55970,70,-92.445,86.265,443,1782,1546
56050,70,-92.410,86.320,442,1744,1522
56130,70,-92.380,86.370,441,1728,1520
56210,70,-92.350,86.420,442,1802,1543
56290,70,-92.315,86.470,443,1670,1477
56370,70,-92.280,86.520,445,1676,1468
56450,70,-92.250,86.570,446,1752,1507
56530,70,-92.215,86.620,447,1631,1437
56610,70,-92.195,86.670,447,1488,1336
56690,70,-92.160,86.725,447,1625,1403
56770,70,-92.130,86.780,448,1708,1437
56850,70,-92.095,86.825,451,1678,1415
56930,70,-92.065,86.875,455,1726,1445
57010,70,-92.035,86.930,455,1721,1434
57090,70,-92.005,86.975,456,1707,1424
57170,70,-91.970,87.025,459,1686,1408
57250,70,-91.935,87.080,463,1789,1468
57330,70,-91.900,87.125,469,1826,1478
57410,70,-91.875,87.180,470,1748,1425
57490,70,-91.840,87.235,471,1773,1425
57570,70,-91.810,87.280,470,1672,1377
57650,70,-91.770,87.330,469,1776,1426
57730,70,-91.740,87.385,471,1666,1356
57810,70,-91.705,87.435,472,1671,1337
57890,70,-91.680,87.485,472,1709,1334
57970,70,-91.650,87.535,472,1679,1322
58050,70,-91.615,87.585,468,1737,1360
58130,70,-91.590,87.640,470,1785,1358
58210,70,-91.560,87.685,469,1729,1335
58290,70,-91.530,87.740,469,1654,1290
58370,70,-91.495,87.795,473,1658,1279
58450,70,-91.465,87.840,473,1555,1198
58530,70,-91.430,87.890,470,1530,1156
58610,70,-91.405,87.945,473,1619,1198
58690,70,-91.370,87.990,473,1498,1124
58770,70,-91.340,88.040,475,1486,1150
58850,70,-91.300,88.095,478,1607,1216
60020,70,-91.000,88.405,361,655,463
60100,70,-91.030,88.360,489,985,700
60180,70,-91.055,88.310,489,1181,876
60260,70,-91.090,88.260,491,1245,971
60340,70,-91.115,88.210,490,1423,1117
60420,70,-91.150,88.155,488,1374,1112
60500,70,-91.175,88.105,487,1397,1141
60580,70,-91.205,88.055,487,1455,1187
60660,70,-91.240,88.005,489,1536,1207
60740,70,-91.270,87.960,492,1393,1134
60820,70,-91.310,87.910,490,1260,1079
60900,70,-91.335,87.855,489,1470,1184
60980,70,-91.370,87.805,489,1528,1223
61060,70,-91.400,87.760,487,1435,1181
61140,70,-91.430,87.705,491,1481,1234
61220,70,-91.465,87.655,493,1724,1354
61300,70,-91.500,87.610,494,1791,1370
61380,70,-91.530,87.555,492,1569,1327
61460,70,-91.560,87.500,493,1369,1239
61540,70,-91.595,87.450,491,1392,1243
61620,70,-91.625,87.400,494,1817,1419
61700,70,-91.650,87.355,496,1669,1362
61780,70,-91.685,87.305,494,1481,1296
61860,70,-91.710,87.250,493,1397,1246
61940,70,-91.745,87.205,492,1397,1239
62020,70,-91.770,87.155,494,1494,1283
62100,70,-91.805,87.095,492,1462,1264
62180,70,-91.835,87.055,492,1593,1322
62260,70,-91.870,87.005,492,1846,1442
62340,70,-91.905,86.950,489,1935,1515
62420,70,-91.935,86.900,488,1696,1435
62500,70,-91.965,86.850,486,1566,1380
62580,70,-91.995,86.800,486,1637,1406
62660,70,-92.030,86.750,487,1792,1476
62740,70,-92.060,86.700,485,1970,1564
62820,70,-92.100,86.650,484,1927,1512
62900,70,-92.130,86.600,481,2019,1577
62980,70,-92.155,86.550,478,2052,1610
63060,70,-92.190,86.500,479,1902,1507
63140,70,-92.220,86.450,479,1912,1544
63220,70,-92.255,86.395,479,1975,1593
63300,70,-92.275,86.350,477,1913,1557
63380,70,-92.310,86.300,474,1791,1488
63460,70,-92.340,86.245,472,1678,1446
63540,70,-92.370,86.200,470,1666,1439
63620,70,-92.400,86.150,473,1694,1440
63700,70,-92.435,86.095,472,1749,1435
63780,70,-92.470,86.045,469,1901,1476
63860,70,-92.500,86.000,467,1939,1524
63940,70,-92.535,85.950,464,1834,1477
64020,70,-92.565,85.895,465,1551,1338
64100,70,-92.590,85.840,467,1452,1278
64180,70,-92.625,85.790,466,1566,1340
64260,70,-92.655,85.745,464,1593,1339
64340,70,-92.695,85.695,461,1614,1332
64420,70,-92.725,85.640,459,1617,1322
64500,70,-92.755,85.595,462,1580,1292
64580,70,-92.785,85.545,463,1449,1237
64660,70,-92.820,85.490,462,1385,1205
64740,70,-92.845,85.445,460,1496,1263
64820,70,-92.870,85.395,457,1486,1256
64900,70,-92.905,85.345,456,1406,1214
64980,70,-92.935,85.295,456,1635,1323
65060,70,-92.975,85.245,459,1629,1333
65140,70,-93.005,85.190,459,1617,1305
65220,70,-93.040,85.140,457,1472,1238
65300,70,-93.065,85.090,454,1510,1250
65380,70,-93.095,85.040,452,1447,1196
65460,70,-93.130,84.990,453,1428,1190
65540,70,-93.160,84.940,453,1425,1187
66640,70,-93.095,84.870,341,598,493
66720,70,-93.070,84.915,448,1071,826
66800,70,-93.035,84.960,449,1334,1000
66880,70,-93.005,85.010,448,1373,1036
66960,70,-92.975,85.060,450,1445,1074
67040,70,-92.940,85.110,452,1471,1112
67120,70,-92.915,85.160,447,1508,1171
67200,70,-92.885,85.210,447,1310,1127
67280,70,-92.855,85.265,449,1450,1203
67360,70,-92.820,85.305,448,1514,1253
67440,70,-92.785,85.360,449,1428,1230
67520,70,-92.750,85.415,450,1403,1222
67600,70,-92.725,85.460,450,1439,1266
67680,70,-92.695,85.515,447,1613,1351
67760,70,-92.660,85.570,449,1641,1353
67840,70,-92.630,85.615,449,1334,1210
67920,70,-92.595,85.665,452,1278,1183
68000,70,-92.570,85.715,452,1269,1176
68080,70,-92.535,85.765,450,1292,1191
68160,70,-92.500,85.815,449,1263,1175
68240,70,-92.465,85.870,451,1404,1233
68320,70,-92.435,85.915,452,1510,1298
68400,70,-92.400,85.965,456,1338,1200
68480,70,-92.375,86.015,456,1315,1204
68560,70,-92.345,86.065,455,1442,1250
68640,70,-92.315,86.120,452,1350,1233
68720,70,-92.290,86.175,451,1346,1227
68800,70,-92.255,86.220,455,1529,1310
68880,70,-92.220,86.270,456,1452,1294
68960,70,-92.185,86.325,458,1321,1241
69040,70,-92.155,86.365,458,1423,1257
69120,70,-92.120,86.420,456,1400,1247
69200,70,-92.095,86.475,458,1326,1232
69280,70,-92.060,86.520,457,1431,1286
69360,70,-92.030,86.575,462,1634,1366
69440,70,-91.995,86.630,463,1526,1334
69520,70,-91.965,86.675,463,1389,1260
69600,70,-91.935,86.725,461,1269,1195
69680,70,-91.900,86.775,460,1197,1158
69760,70,-91.870,86.825,463,1261,1203
69840,70,-91.835,86.875,464,1324,1259
69920,70,-91.810,86.930,466,1418,1294
70000,70,-91.780,86.975,466,1730,1443
70080,70,-91.750,87.025,464,1826,1489
70160,70,-91.715,87.075,464,1755,1468
70240,70,-91.685,87.130,466,1643,1404
70320,70,-91.650,87.185,469,1806,1502
70400,70,-91.625,87.235,467,1893,1552
70480,70,-91.590,87.285,467,1714,1460
70560,70,-91.555,87.335,466,1744,1467
70640,70,-91.525,87.380,465,1874,1519
70720,70,-91.490,87.430,467,1801,1454
70800,70,-91.465,87.480,467,1729,1415
70880,70,-91.430,87.530,469,1575,1332
70960,70,-91.400,87.580,469,1444,1274
71040,70,-91.360,87.635,465,1552,1325
71120,70,-91.330,87.680,466,1455,1239
71200,70,-91.295,87.735,465,1543,1270
71280,70,-91.270,87.790,468,1542,1250
71360,70,-91.235,87.835,465,1443,1186
71440,70,-91.205,87.885,466,1400,1178
71520,70,-91.180,87.940,464,1415,1177
71600,70,-91.150,87.985,463,1468,1208
71680,70,-91.120,88.035,464,1421,1168
71760,70,-91.085,88.090,466,1316,1088
71840,70,-91.055,88.135,466,1275,1065
71920,70,-91.020,88.185,465,1312,1068
72000,70,-90.995,88.240,463,1272,1034
72080,70,-90.960,88.290,462,1313,1045
72160,70,-90.925,88.340,464,1228,1017
72240,70,-90.890,88.395,465,1354,1085
72320,70,-90.860,88.440,464,1397,1084
72400,70,-90.835,88.495,465,1380,1089
72480,70,-90.795,88.550,462,1570,1194
72560,70,-90.765,88.590,459,1694,1209
72640,70,-90.730,88.640,461,1658,1220
72720,70,-90.700,88.695,464,1517,1199
73890,70,-90.400,89.000,338,603,423
73970,70,-90.425,88.955,458,941,642
74050,70,-90.460,88.905,457,1203,831
74130,70,-90.485,88.855,461,1231,905
74210,70,-90.525,88.805,462,1424,1034
74290,70,-90.555,88.750,464,1622,1210
74370,70,-90.590,88.705,463,1641,1234
74450,70,-90.615,88.655,459,1728,1289
74530,70,-90.650,88.600,461,1851,1368
74610,70,-90.680,88.555,463,1826,1376
74690,70,-90.715,88.505,465,1691,1307
74770,70,-90.740,88.445,462,1627,1269
74850,70,-90.775,88.395,463,1684,1309
74930,70,-90.800,88.350,460,1788,1348
75010,70,-90.835,88.295,460,1868,1411
75090,70,-90.865,88.245,463,1759,1379
75170,70,-90.900,88.195,463,1650,1317
75250,70,-90.935,88.145,464,1553,1246
75330,70,-90.970,88.095,464,1560,1244
75410,70,-90.995,88.045,463,1466,1230
75490,70,-91.030,87.990,463,1310,1146
75570,70,-91.060,87.945,463,1263,1135
75650,70,-91.090,87.895,464,1283,1155
75730,70,-91.130,87.835,464,1325,1199
75810,70,-91.155,87.790,464,1436,1251
75890,70,-91.190,87.745,462,1472,1281
75970,70,-91.220,87.685,462,1400,1259
76050,70,-91.255,87.635,464,1359,1220
76130,70,-91.275,87.585,465,1536,1322
76210,70,-91.310,87.535,465,1653,1381
76290,70,-91.340,87.485,464,1514,1315
76370,70,-91.375,87.435,464,1490,1308
76450,70,-91.405,87.385,464,1593,1365
76530,70,-91.435,87.335,466,1609,1375
76610,70,-91.470,87.280,468,1513,1336
76690,70,-91.505,87.240,469,1566,1360
76770,70,-91.535,87.185,468,1947,1528
76850,70,-91.570,87.130,466,2019,1604
76930,70,-91.600,87.080,467,1913,1562
77010,70,-91.630,87.030,470,1825,1501
77090,70,-91.660,86.980,473,1582,1379
77170,70,-91.695,86.930,474,1619,1401
77250,70,-91.725,86.880,474,1618,1411
77330,70,-91.760,86.830,475,1672,1408
77410,70,-91.790,86.780,474,1554,1358
77490,70,-91.820,86.730,477,1620,1364
77570,70,-91.855,86.675,482,1586,1335
77650,70,-91.880,86.625,484,1573,1316
77730,70,-91.910,86.575,483,1536,1299
77810,70,-91.940,86.520,482,1480,1271
77890,70,-91.975,86.475,484,1432,1229
77970,70,-92.005,86.425,487,1414,1208
78050,70,-92.045,86.370,491,1405,1205
78130,70,-92.075,86.325,492,1473,1238
78210,70,-92.105,86.275,491,1669,1346
78290,70,-92.135,86.215,491,1592,1284
78370,70,-92.170,86.175,491,1567,1257
78450,70,-92.200,86.120,496,1500,1223
78530,70,-92.235,86.065,495,1536,1245
78610,70,-92.260,86.015,501,1517,1209
78690,70,-92.295,85.970,502,1339,1113
78770,70,-92.325,85.915,497,1298,1088
78850,70,-92.360,85.865,496,1267,1066
78930,70,-92.395,85.820,497,1208,1021
79010,70,-92.415,85.765,501,1290,1049
79090,70,-92.450,85.715,500,1573,1164
79170,70,-92.480,85.665,498,1389,1096
79250,70,-92.515,85.615,495,1703,1277
79330,70,-92.540,85.565,497,1781,1339
79410,70,-92.575,85.510,496,1581,1204
79490,70,-92.610,85.460,497,1572,1213
79570,70,-92.645,85.410,495,1649,1265
79650,70,-92.675,85.360,492,1740,1319
79730,70,-92.710,85.310,491,1765,1279
79810,70,-92.735,85.260,488,1781,1283
79890,70,-92.770,85.210,488,1633,1215
79970,70,-92.800,85.160,490,1741,1249
80050,70,-92.835,85.110,487,1666,1223
80130,70,-92.865,85.060,485,1625,1169
80210,70,-92.895,85.005,484,1410,1056
80290,70,-92.930,84.950,483,1279,1002
80370,70,-92.965,84.900,481,1319,1039
80450,70,-92.990,84.850,481,1257,995
80530,70,-93.015,84.800,479,1290,1018
81630,70,-92.960,84.720,357,634,493
81710,70,-92.930,84.770,473,956,718
81790,70,-92.905,84.825,473,1222,886
81870,70,-92.870,84.870,473,1236,928
81950,70,-92.840,84.920,471,1563,1097
82030,70,-92.805,84.975,472,1695,1183
82110,70,-92.775,85.020,470,1465,1118
82190,70,-92.740,85.075,469,1347,1095
82270,70,-92.715,85.125,470,1387,1140
82350,70,-92.680,85.175,472,1451,1162
82430,70,-92.645,85.230,473,1375,1130
82510,70,-92.610,85.280,472,1373,1138
82590,70,-92.580,85.330,468,1345,1150
82670,70,-92.550,85.380,467,1359,1171
82750,70,-92.525,85.435,469,1332,1160
82830,70,-92.490,85.480,469,1236,1108
82910,70,-92.455,85.530,470,1342,1165
82990,70,-92.420,85.585,468,1339,1174
83070,70,-92.395,85.635,465,1354,1191
83150,70,-92.360,85.685,465,1465,1232
83230,70,-92.330,85.735,467,1491,1240
83310,70,-92.295,85.790,468,1320,1148
83390,70,-92.265,85.840,465,1461,1204
83470,70,-92.235,85.890,466,1347,1167
83550,70,-92.205,85.940,462,1350,1156
83630,70,-92.170,85.995,461,1236,1114
83710,70,-92.140,86.040,461,1301,1135
83790,70,-92.100,86.090,462,1475,1248
83870,70,-92.070,86.145,461,1568,1319
83950,70,-92.040,86.185,460,1658,1326
84030,70,-92.010,86.240,457,1785,1400
84110,70,-91.975,86.295,457,1627,1305
84190,70,-91.950,86.340,457,1515,1250
84270,70,-91.920,86.395,459,1498,1227
84350,70,-91.890,86.450,459,1439,1218
84430,70,-91.850,86.500,458,1323,1164
84510,70,-91.820,86.550,458,1343,1159
84590,70,-91.785,86.600,454,1426,1197
84670,70,-91.760,86.650,453,1806,1351
84750,70,-91.725,86.700,457,1653,1260
84830,70,-91.695,86.750,458,1453,1202
84910,70,-91.660,86.800,457,1380,1169
84990,70,-91.630,86.855,455,1487,1213
85070,70,-91.595,86.905,456,1518,1212
85150,70,-91.565,86.955,455,1482,1194
85230,70,-91.530,87.005,457,1370,1132
85310,70,-91.500,87.060,456,1415,1162
85390,70,-91.470,87.105,459,1462,1195
85470,70,-91.435,87.155,456,1673,1290
85550,70,-91.410,87.210,455,1697,1268
85630,70,-91.380,87.255,457,1586,1258
85710,70,-91.350,87.305,459,1660,1322
85790,70,-91.315,87.360,461,1689,1306
85870,70,-91.290,87.415,461,1468,1230
85950,70,-91.250,87.465,460,1386,1166
86030,70,-91.220,87.515,459,1409,1138
86110,70,-91.185,87.565,462,1443,1146
86190,70,-91.155,87.615,464,1272,1070
86270,70,-91.120,87.665,465,1228,1045
86350,70,-91.095,87.715,467,1289,1084
86430,70,-91.060,87.765,466,1447,1162
86510,70,-91.030,87.815,466,1424,1145
86590,70,-90.995,87.865,470,1320,1100
86670,70,-90.960,87.920,472,1408,1132
86750,70,-90.925,87.970,476,1479,1167
86830,70,-90.900,88.020,476,1439,1167
86910,70,-90.865,88.075,477,1379,1116
86990,70,-90.835,88.125,477,1365,1111
87070,70,-90.805,88.175,479,1429,1146
87150,70,-90.780,88.225,483,1360,1096
87230,70,-90.745,88.275,486,1286,1039
87310,70,-90.715,88.325,487,1508,1154
87390,70,-90.680,88.375,488,1414,1139
87470,70,-90.650,88.425,488,1373,1120
87550,70,-90.615,88.475,490,1713,1290
87630,70,-90.590,88.530,494,2051,1433
87710,70,-90.555,88.575,495,1736,1281
87790,70,-90.520,88.630,500,1342,1087
87870,70,-90.485,88.685,497,1355,1087
87950,70,-90.455,88.730,501,1401,1102
88030,70,-90.420,88.780,501,1351,1108
88110,70,-90.395,88.835,500,1411,1095
88190,70,-90.355,88.885,500,1469,1137
88270,70,-90.325,88.940,499,1463,1136
88350,70,-90.290,88.985,501,1346,1095
88430,70,-90.265,89.035,501,1411,1102
88510,70,-90.230,89.090,501,1404,1102
88590,70,-90.205,89.135,500,1347,1076
88670,70,-90.170,89.190,502,1294,1036
88750,70,-90.145,89.245,503,1452,1115
88830,70,-90.110,89.295,502,1868,1325
90000,70,-89.800,89.600,368,495,397
90080,70,-89.825,89.550,500,796,618
90160,70,-89.860,89.500,501,1000,760
90240,70,-89.895,89.455,500,1200,926
90320,70,-89.920,89.405,499,1220,964
90400,70,-89.955,89.350,499,1386,1079
90480,70,-89.985,89.305,500,1304,1088
90560,70,-90.020,89.255,503,1145,999
90640,70,-90.050,89.200,504,1311,1103
90720,70,-90.085,89.145,503,1472,1196
90800,70,-90.110,89.100,500,1609,1276
90880,70,-90.145,89.050,501,1636,1319
90960,70,-90.175,89.000,500,1479,1262
91040,70,-90.210,88.950,499,1498,1300
91120,70,-90.240,88.900,502,1436,1265
91200,70,-90.270,88.850,501,1398,1263
91280,70,-90.300,88.795,499,1422,1278
